,player_id,name,current_club_id,date_of_birth,position,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,last_season,year_of_birth,age,year,total_goals,total_yellow_cards,total_red_cards,total_minutes_played,total_assists,total_games_played,performance_career,total_goals_cur_club,total_yellow_cards_cur_club,total_red_cards_cur_club,total_minutes_played_cur_club,total_assists_cur_club,total_goals_2022,total_yellow_cards_2022,total_red_cards_2022,total_minutes_played_2022,total_assists_2022,games_played_2022,performance_2022,total_goals_2020,total_yellow_cards_2020,total_red_cards_2020,total_minutes_played_2020,total_assists_2020,games_played_2020,performance_2020,improved_performance,raw_performance_score,normalised_performance_score
882,440653,Ogulcan Ülgün,2293,1998-05-11,Midfield,900000.0,1000000.0,2024-06-30,2022,1998,24,3,1,8,0,997,1,33,105.22121212121212,1,5,0,555,1,1,6,0,828,1,29,88.05517241379312,0,1,0,273,0,8,31.362500000000004,1,216.11836468129576,3.1351358418226067
883,260330,Cebrail Karayel,2293,1994-08-15,Defender,600000.0,1000000.0,2024-06-30,2022,1994,28,5,1,17,0,4015,7,63,410.67301587301586,0,2,0,270,0,1,9,0,2731,5,40,282.2275,1,6,0,1587,3,18,168.16666666666669,1,796.9337103174603,11.56077338664584
884,206947,Kévin Rodrigues,3840,1994-03-05,Defender,2200000.0,5000000.0,2025-06-30,2022,1994,28,7,5,15,0,8019,5,119,817.5386554621849,2,3,0,1276,0,2,5,0,2500,0,45,258.90555555555557,0,2,0,652,0,20,69.96000000000001,1,867.2126610644259,12.580279793412421
885,217863,Guilherme,2293,1990-04-01,Defender,1400000.0,2200000.0,2024-06-30,2022,1990,32,4,8,10,0,9602,15,108,979.2907407407407,5,3,0,3372,4,8,7,0,7039,9,79,720.2601265822785,3,4,0,3667,5,41,379.39390243902443,1,1949.4919626828125,28.28043852064622
886,291758,Ahmet Oguz,2293,1993-01-16,Defender,1400000.0,1600000.0,2024-06-30,2022,1993,29,10,3,51,1,14687,10,192,1483.6494791666667,0,4,0,1495,2,1,15,0,5321,5,68,543.525,0,8,0,2882,3,39,297.7897435897436,1,1855.0743969661803,26.9107636445089
887,354173,Adil Demirbag,2293,1997-12-10,Defender,2700000.0,2700000.0,2025-06-30,2022,1997,25,4,0,20,0,4775,0,76,486.3828947368421,0,11,0,2695,0,0,15,0,3569,0,59,365.0991525423729,0,4,0,874,0,26,92.36153846153846,1,883.2817146435189,12.813386618435246
888,241486,Finn Stokkers,1435,1996-04-18,Attack,450000.0,600000.0,2025-06-30,2022,1996,26,7,20,0,0,4980,10,105,521.7428571428571,1,0,0,388,1,8,0,0,2534,6,56,267.425,3,0,0,1182,2,31,126.51290322580645,1,788.6564471818504,11.440698702724758
889,387160,Konrad Michalak,2293,1997-09-19,Attack,1700000.0,1700000.0,2024-06-30,2022,1997,25,5,7,4,0,5394,14,108,560.5944444444443,3,1,0,2038,4,5,1,0,3293,9,70,344.70428571428573,2,0,0,1255,5,37,134.44189189189188,1,931.8955426855425,13.518606440579958
890,375719,Yasir Subasi,2293,1996-01-01,Defender,200000.0,600000.0,2025-06-30,2022,1996,26,4,0,8,0,3104,3,50,319.9080000000001,0,0,0,45,0,0,3,0,966,1,23,102.45,0,2,0,563,0,16,60.91875,1,374.6246730769231,5.43451844791877
891,532444,Fotis Ioannidis,265,2000-01-10,Attack,1200000.0,1200000.0,2024-06-30,2022,2000,22,7,15,8,0,4483,5,102,468.2450980392157,8,3,0,1430,2,12,4,0,2860,2,59,300.6474576271186,4,1,0,1430,0,24,152.50833333333335,1,837.76115970271,12.15303957414292
892,555519,Konstantinos Kotsopoulos,3060,1997-02-17,Attack,200000.0,500000.0,2023-06-30,2022,1997,25,6,11,7,0,2363,2,62,249.76129032258063,0,0,0,8,0,2,6,0,779,0,21,84.00952380952381,2,6,0,771,0,20,83.25500000000001,1,334.26993087557605,4.849109619522688
893,369103,Argyris Kampetsis,265,1999-05-06,Attack,350000.0,600000.0,2024-06-30,2022,1999,23,6,7,1,0,2671,4,72,281.05972222222226,0,0,0,31,0,3,1,0,1062,3,31,114.32580645161289,3,1,0,958,3,23,103.86521739130436,1,416.0142229624435,6.034938784776104
